"VV_2017-11-11","VV_2017-11-23","VV_2017-12-05","VV_2017-12-17","VV_2018-01-10","VV_2018-01-22","VV_2018-02-03","VV_2018-02-27","VV_2018-03-11","VV_2018-03-23","VV_2018-04-04","VV_2018-04-16"
0.100089028477669,0.0937769785523415,0.142361402511597,0.0926409214735031,0.0898347124457359,0.0861298739910126,0.0861815139651299,0.0681125223636627,0.0551657751202583,0.0610843189060688,0.0607780814170837,0.0676683783531189
0.179536819458008,0.100839979946613,0.106749556958675,0.140251517295837,0.166047602891922,0.121183402836323,0.171328708529472,0.113002076745033,0.0349908247590065,0.0358770415186882,0.0887389555573463,0.0843020305037498
0.141617342829704,0.16930678486824,0.186247631907463,0.0998021215200424,0.088681198656559,0.113509736955166,0.100840769708157,0.0917642116546631,0.0755475983023643,0.0419511087238789,0.0731879249215126,0.101716294884682
0.182018652558327,0.0973871052265167,0.153118759393692,0.110552035272121,0.151670292019844,0.119212880730629,0.167831361293793,0.104038827121258,0.0345001295208931,0.0329734832048416,0.069437250494957,0.125290498137474
0.061935517936945,0.0840494558215141,0.149533912539482,0.257653921842575,0.168853208422661,0.16261699795723,0.119647219777107,0.196572989225388,0.0396507605910301,0.0531555376946926,0.0539334788918495,0.04269078373909
0.231161311268806,0.164600744843483,0.131146296858788,0.114813394844532,0.107578344643116,0.133232608437538,0.103819459676743,0.0924817398190498,0.0914036855101585,0.0801067799329758,0.181489169597626,0.0994650349020958
0.0686497315764427,0.132196560502052,0.190021276473999,0.175370559096336,0.153042957186699,0.146983087062836,0.188896760344505,0.215035453438759,0.0800770819187164,0.0692230761051178,0.100135907530785,0.0473538525402546
0.137552469968796,0.125766843557358,0.120098724961281,0.112077884376049,0.0912887379527092,0.168612584471703,0.097833052277565,0.0800589770078659,0.0917023941874504,0.108039118349552,0.107719749212265,0.0871292054653168
0.118916399776936,0.139593780040741,0.0995476916432381,0.091282807290554,0.126245826482773,0.109153844416142,0.106899216771126,0.116412565112114,0.116538785398006,0.0957040339708328,0.0491278395056725,0.0719617530703545
0.162013530731201,0.130272626876831,0.111015759408474,0.0806201994419098,0.142771691083908,0.132928445935249,0.106806337833405,0.125538423657417,0.13111737370491,0.106418594717979,0.0538107343018055,0.0367047898471355
