"Latitude","Longitude","CType","SampleYear","SowingPeriod","HarvestingPeriod","Others","Index"
28.150274,77.796534,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148335,77.780548,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.14859,77.790102,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.141578,77.771093,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.146717,77.790461,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150128,77.783418,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.154545,77.775918,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.153174,77.77411,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148491,77.777361,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149248,77.789437,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.153656,77.787377,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150884,77.791421,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.144109,77.768218,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.148406,77.789555,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147275,77.778718,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151854,77.779818,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.15289,77.786669,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.151627,77.79361,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150813,77.796228,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150189,77.782082,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.152247,77.775146,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149792,77.781159,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150738,77.779469,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149092,77.781508,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.150199,77.780832,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.147531,77.786416,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.141725,77.768891,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.142905,77.767284,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
28.149494,77.792033,"Sugarcane",2017,"01/04/17","31/10/17",NA,1
