20170130,20170209,20170301,20170321,20170410,20170430,20170520,20170609,20170629,20170719,20170808,20170828,20170917,20171007
4069,8138,7370,6602,1521,1315,1571,3323,3658,3994,5151,7848,7848,7848
3786,7572,8046,8521,2340,1423,1626,5089,5089,5089,5089,5089,3855,7739
4008,8016,8316,8617,2092,1443,1555,2630,2936,3242,5545,7149,7149,7149
4046,8092,8239,8387,3638,1855,2046,3222,4684,6146,6285,5311,4337,7843
3998,7997,7995,7994,2172,1366,1661,6293,6654,7015,5576,5130,4684,3905
1955,3910,2666,1422,1571,1882,3751,5382,6475,7569,7569,7569,7569,7141
3106,6213,5234,4255,2334,2816,4272,6145,6891,7637,7637,7637,7637,7444
3225,6451,4726,3002,1230,2370,4370,6780,7385,7990,6560,5238,3916,6409
3294,6589,4791,2994,1748,2713,4103,5825,6956,8088,7350,5770,4190,7184
4068,8137,7050,5963,1932,2123,2955,4144,5852,7560,5947,5947,5947,5257
1137,2275,2360,2445,2117,2728,4720,5863,7078,8294,7495,5515,3535,7146
3140,6281,7175,8070,3478,1654,1855,3279,5458,7637,7398,6223,5048,8106
1029,2059,2305,2551,2351,3696,4037,3878,5946,8015,7472,8012,8012,8012
4243,8487,8503,8519,2339,1517,3279,5041,5608,6175,7423,6980,6538,8727
4189,8379,7575,6772,1366,1485,1528,2691,3370,4049,6233,5311,4390,6280
3093,6187,4348,2510,3210,3567,4977,6788,7530,8272,6692,6692,6692,6631
3808,7616,8342,9068,4707,1096,1983,5507,6766,8025,6059,6059,6059,1918
3258,6516,4420,2324,3013,3480,3863,6528,7414,8300,6533,5143,3753,7478
2998,5996,5663,5330,2540,3070,2966,6252,7228,8204,6041,238,5545,6815
2930,5860,3977,2094,1213,1298,754,4303,6119,7936,6839,6576,6313,7114
1490,2981,2169,1357,1709,3142,4328,5514,6657,7800,5653,5640,5627,7908
4130,8261,8553,8846,2417,1396,1660,2900,4933,6966,6363,4990,3618,1096
3679,7358,4866,2375,1709,1612,1858,1873,4390,6908,6084,4948,3812,1525
3199,6398,5178,3959,2824,3373,3002,6301,7069,7837,5877,5877,5877,5783
2896,5793,5046,4299,2974,3124,3927,6524,7179,7835,5694,6263,6263,6263
1971,3942,3556,3170,2790,3119,3775,6249,6990,7732,6025,5568,5112,6119
